X,Y,sid,code,name,slots,subway_distance,district,departures,arrivals,in_out,roundtrips,average,average_per_slot,unique_rides,start,start_month,lat,lon
37.630187,55.815486,292,472,"Звёздный б-р, д.18/1",12,769,130,1665,1692,98,27,16,1,30,2015-06-19 17:43:57,6,55.815486,37.630187
37.604133,55.821704,293,473,"ул. Академика Королева, д.12А",12,1757,130,1043,1025,102,14,16,1,35,2015-07-24 14:21:54,7,55.821704,37.604133
37.634063,55.82344,294,474,"ул. 1-я Останкинская, д.55",12,477,130,957,1035,92,28,14,0.9,67,2015-07-24 13:33:10,7,55.82344,37.634063
37.580688,55.820725,295,480,"ул. Яблочкова, д.18",12,317,125,1348,1264,107,25,14,1.1,36,2015-06-24 12:13:48,6,55.820725,37.580688
37.580408,55.827897,296,481,"ул. Милашенкова, д.12Д",12,988,125,1446,1487,97,26,15,1,28,2015-06-24 13:44:45,6,55.827897,37.580408
37.594597,55.813304,297,482,"ул. Руставели, д.12/13",12,985,125,817,717,114,26,8,1.1,35,2015-06-24 16:30:21,6,55.813304,37.594597
37.659304,55.776629,298,483,"Комсомольская пл., д.5",32,116,141,795,751,106,14,17,1.1,41,2015-08-15 13:42:06,8,55.776629,37.659304
37.588375,55.812377,299,484,"ул. Руставели (напротив д.6, к.5)",12,623,125,772,767,101,35,11,1,40,2015-07-24 14:39:41,7,55.812377,37.588375
37.574,55.819,300,485,ст.м.Тимирязевская,12,22,36,594,550,108,41,9,1.1,45,2015-07-29 11:10:38,7,55.819,37.574
37.600716,55.745441,1,1,"Гоголевский б-р (напротив д.3, ст.м.Кропоткинская)",24,77,131,5788,5828,99,21,38,1,55,2015-05-01 00:56:28,5,55.745441,37.600716
37.600224,55.748696,2,2,"Гоголевский б-р (напротив д.17, стр.1)",14,394,131,1774,1933,92,23,12,0.9,70,2015-05-01 16:41:57,5,55.748696,37.600224
37.600593,55.750918,3,3,Гоголевский б-р (напротив д.33),12,152,138,3294,3397,97,20,22,1,59,2015-05-01 01:45:39,5,55.750918,37.600593
37.601595,55.75348,4,4,"Никитский б-р (напротив д.8А/3, стр.1)",12,149,138,5185,5270,98,18,34,1,51,2015-05-01 00:28:28,5,55.75348,37.601595
37.600472,55.754924,5,5,"Никитский б-р (напротив д.11/12, стр.3)",12,318,147,2085,2160,97,21,14,1,69,2015-05-01 14:05:48,5,55.754924,37.600472
37.598457,55.757299,6,6,Никитский б-р (напротив д.23/14/9),8,608,147,3254,3182,102,16,21,1,60,2015-05-01 17:06:33,5,55.757299,37.598457
37.602162,55.761566,7,8,"Тверской б-р (напротив д.17, стр.1)",14,375,147,3502,3339,105,22,23,1,59,2015-05-01 00:24:50,5,55.761566,37.602162
37.605123,55.76461,8,9,Тверской б-р (напротив д.28),16,39,155,8768,8224,107,19,57,1.1,49,2015-05-01 00:22:08,5,55.76461,37.605123
37.609489,55.766711,9,10,Страстной б-р (напротив д.8А),10,105,155,4813,4748,101,19,31,1,52,2015-05-01 01:24:27,5,55.766711,37.609489
37.613347,55.768066,10,11,Страстной б-р (напротив д.16),8,390,155,3696,3686,100,20,24,1,57,2015-05-01 17:38:44,5,55.768066,37.613347
37.622531,55.76715,11,12,"Цветной б-р (напротив д.1, ст.м.Трубная)",12,78,24,6251,6465,97,24,41,1,53,2015-05-01 00:22:26,5,55.76715,37.622531
37.631618,55.766613,12,13,пл. Сретенские ворота (напротив д.1),10,294,141,3465,3118,111,17,23,1.1,53,2015-05-01 01:48:16,5,55.766613,37.631618
37.636464,55.766945,13,14,"Сретенский б-р, д.11",12,69,141,2756,2198,125,17,18,1.3,47,2015-05-01 00:32:26,5,55.766945,37.636464
37.636779,55.765328,14,15,Тургеневская пл. (ст.м.Тургеневская),8,14,141,2723,2472,110,17,18,1.1,50,2015-05-01 00:24:57,5,55.765328,37.636779
37.628651,55.741485,62,76,"ул. Пятницкая, д.25, стр.1Д",16,93,137,6633,6744,98,22,54,1,44,2015-06-01 18:39:53,6,55.741485,37.628651
37.617156,55.793457,260,417,"ул. Шереметьевская, д.2",12,16,132,1941,1895,102,17,19,1,40,2015-06-19 19:56:04,6,55.793457,37.617156
